t,angle,setpoint,dq,tau_cmd,tau_load,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk,b0,b1,b2,b3,b4
22.435,0.7548563389700763,0.6981317007977318,-0.11374649357174182,-0.64877930305969,1.157295764316403,-8.434728565506992,6.756206596356204,-5.458068629449674,0.8896152339903196,0.5490393295114846,-0.7555155889273315,0.004582185073289836,0.009747164719165704,0.0,0.2,0.2,0.2,0.2,0.2
22.535,0.7552341484952886,0.6981317007977318,-0.12498857845227804,-0.18961498381486397,0.6950088086108727,-5.03837471661725,4.552445788654916,-3.574218357840604,0.7700111284078294,0.4107777811520932,-0.43463184618236683,0.003784715247824794,0.008852269663675263,0.0,0.2,0.2,0.2,0.2,0.2
22.635,0.7541875783269557,0.6981317007977318,-0.10692545142188983,-0.8989912021628969,0.16468954830739796,-2.755299487008246,1.7304195164920364,-1.1445376453976874,0.5648199815967299,0.14281663631740266,-0.4592962618434886,0.002578274183562329,0.0073610713791905855,0.0,0.08909805417051105,0.08909805417051105,0.08909805417051105,0.3831120728530766,0.3495937646353904
22.740000000000002,0.7518226262177373,0.6981317007977318,-0.12620848021767864,0.19039564524521188,-0.4085293867478409,3.5239672721350814,-1.5083829683475063,1.5726533013445332,0.2893595113443138,-0.2345047658782795,0.04854763384935423,0.0013202973228433122,0.005603061496481163,0.0,6.925070003263415e-06,6.925070003263415e-06,6.925070003263415e-06,0.3231527689965093,0.676826455793481
22.845,0.7485427784379223,0.6981317007977318,-0.15181779031227782,1.1266114597901924,-0.9376968912132325,10.069999229770344,-4.609117295152885,4.11602786306381,-0.021142462609140794,-0.5803866664537458,0.6682577820629985,0.0009780356668626364,0.0040907783140239524,0.0,0.6433706195677155,0.3561442212711372,0.0003736115897151932,5.5773785716068986e-05,5.5773785716068986e-05
22.945,0.7451824853823145,0.6981317007977318,-0.1722163314521783,1.9848101468792048,-1.3483981748576284,14.515445448197966,-6.908028100697019,5.937927587249398,-0.30957359805781226,-0.742976177200829,1.2117641108104151,0.0016404841062231336,0.003485962169079906,0.0,0.2,0.2,0.2,0.2,0.2
23.045,0.7415010053280924,0.6981317007977318,-0.14268899089609277,0.9336859778412868,-1.6271088503044417,14.028157032272595,-8.646184975003171,7.346659880920617,-0.5803205269985806,-0.8168604695671973,1.0804152453791582,0.002286506281162268,0.0035845409067124124,0.0,0.8173341454609356,0.17970576877688163,0.002938719215107676,1.0683273537524241e-05,1.0683273537524241e-05
23.150000000000002,0.7375452154824433,0.6981317007977318,-0.12909425117944545,0.8594479163544981,-1.7480572811834476,14.517760655633356,-9.691624256774363,8.13405364546751,-0.8085993233215323,-0.9442119213421628,1.0665397847601221,0.002741851191373896,0.0040181245519240755,0.0,0.000181608362076847,0.000181608362076847,0.000181608362076847,0.24208214568633138,0.757373029227438
23.255,0.7341799047570798,0.6981317007977318,-0.13428193518336834,1.7910404317508375,-1.6805139499346535,15.169661638206703,-9.683631711893204,7.980399382907667,-0.9486234518602233,-0.9720417722560903,1.2230637731839331,0.002772868189877637,0.0043899990420039735,0.0,0.0706878080645344,0.3658024453311557,0.5612386035397554,0.0003213463624179279,0.001949796702136554
23.355,0.7319366013529116,0.6981317007977318,-0.1474273826381191,2.119039638629464,-1.4473910049804841,14.909588946999595,-8.665568073661833,6.96924174171318,-0.9844498279254292,-0.8723039907912683,1.3952351803818017,0.0023907429853769484,0.004469984115891137,0.0,0.2,0.2,0.2,0.2,0.2
23.455000000000002,0.730904787996554,0.6981317007977318,-0.12563883081103439,1.4353268009623554,-1.0725873438927078,10.002272404338466,-6.712781810678847,5.294366508316807,-0.9274484704979695,-0.5741145883402554,1.0490830267746785,0.0018075604047281038,0.004450794102116394,0.0,0.2,0.2,0.2,0.2,0.2
23.56,0.7309975449849332,0.6981317007977318,-0.09031950062013643,-0.06868061635107225,-0.5668554818467736,3.3195983466528958,-3.8993152282973913,2.9654785797184813,-0.7693045167015884,-0.24949753414420905,0.42274624778578485,0.0014527794844838185,0.004472907592272172,0.0,4.053329478636583e-05,3.563835479747772e-05,0.0002575788754773706,0.36781452295222644,0.6318517265227124
23.66,0.7320384332142735,0.6981317007977318,-0.07253785632620888,-0.6329623630641779,-0.02748780529568972,-1.515231290670732,-1.069150277614927,0.6257525230633123,-0.5502917898015178,-0.035207511513751316,-0.06266432269105304,0.001774752977606836,0.004752302194593656,0.0,0.2,0.2,0.2,0.2,0.2
23.76,0.734260436515085,0.6981317007977318,-0.09109341896178924,0.035781235456645466,0.5145705691565315,-3.6427898027692045,1.8789627502858077,-1.8792402440007554,-0.2717013509065994,0.2020250486194481,-0.09868029642084952,0.0027428424235980808,0.0056640835325998656,0.0,0.8010384586447483,0.1769500370597529,0.01832681053791687,0.0018423468787909958,0.0018423468787909958
23.865000000000002,0.737704764259708,0.6981317007977318,-0.08536073336808321,-0.326181342670274,1.0286241915118313,-8.49757100211859,4.85381149561884,-4.30580584226941,0.04470695012623849,0.5572115256024254,-0.45030027697046604,0.004006923047984387,0.00722056730038699,0.0,0.2,0.2,0.2,0.2,0.2
23.97,0.7415180107545167,0.6981317007977318,-0.05193510835780927,-1.8609714047203294,1.4317620054937816,-14.583848189063191,7.210146592232407,-6.136560775329051,0.34359693000892005,0.8137448532366738,-1.1578590950423004,0.004921281538279116,0.008623025225036824,0.0,0.01710967653308759,0.01710967653308759,0.01710967653308759,0.9315612938676497,0.01710967653308759
24.07,0.7449765916252391,0.6981317007977318,-0.056808068514607846,-2.0780193977064796,1.6726377758970776,-15.46621996739815,8.561283001745627,-7.191108550623205,0.5887641107250505,0.8249822869211054,-1.338029451347339,0.005332749965872175,0.009503453864411078,0.0,0.2,0.2,0.2,0.2,0.2
24.17,0.7485591665483677,0.6981317007977318,-0.0906645288910598,-1.0589585362370308,1.749784106842906,-13.813339820660971,9.302781756459334,-7.7842975960625695,0.7868521062967854,0.8811207651800459,-1.045370550996563,0.005722814624572113,0.010369411539603407,0.0,0.2,0.2,0.2,0.2,0.2
